record_id,record_date,record_title,topic,catalog_url,pdf_url,pdf_page,page_url,page_role,date_signal,page_signal,extracted_text_chars
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","1","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=1","administrative_marker","2012","Case Number: 2012-0798-F","368"
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","2","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=2","withdrawal_sheet","11/07/1994","Withdrawal/Redaction Sheet","2034"
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","3","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=3","withdrawal_marker","11/07/1994","Withdrawal/Redaction Marker","2040"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","1","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=1","withdrawal_sheet","1995","Withdrawal/Redaction Sheet","2080"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","2","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=2","released_or_context_text","1995","President","993"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","3","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=3","withdrawal_sheet","08/25/1997","• t ' • • • • • • ' ' ' '""""\'~.:~:'t;~","2598"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","4","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=4","released_or_context_text","1997","\'","1376"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","5","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=5","released_document_text","11/05/97","FROM DEPARTMENT OF STATE 4A (THU) 11. 6' 97 16:53/ST. 16:53/NO. 3760637124 P 2","1022"
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","6","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=6","released_document_text","1111","F.ROM DEPARTMENT OF STATE 4A (THU) 1!. 6' 97 16: 53/ST. 16: 53/NO. 3760637124 P 4","3765"
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=1","withdrawal_sheet","03/06/1997","~-------------------","2992"
