record_id,record_date,record_title,topic,catalog_url,pdf_url,page_range,first_page,last_page,page_count,page_url,page_role,page_role_label,review_priority,first_page_signal,suggested_action
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","1","1","1","1","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=1","administrative_marker","Administrative marker","5","Case Number: 2012-0798-F","Use for case/control metadata only; do not treat as a selectable FRUS document."
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","2","2","2","1","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=2","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-005","1994-11-07","Soderberg notes from Bosnia and Angola PC meeting","Angola, Mozambique, and Southern African Security","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","3","3","3","1","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf#page=3","withdrawal_marker","Withdrawal marker","3","Withdrawal/Redaction Marker","Record marker page and exemption context; pair with nearby withdrawal sheet or released surrounding pages."
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","1","1","1","1","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=1","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","2","2","2","1","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=2","released_or_context_text","Released/context text","2","President","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","3","3","3","1","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=3","withdrawal_sheet","Withdrawal sheet","3","• t ' • • • • • • ' ' ' '""""\'~.:~:'t;~","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","4","4","4","1","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=4","released_or_context_text","Released/context text","2","\'","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-022","1994-12-05","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","5-6","5","6","2","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf#page=5","released_document_text","Released document text","1","FROM DEPARTMENT OF STATE 4A (THU) 11. 6' 97 16:53/ST. 16:53/NO. 3760637124 P 2","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","1-2","1","2","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=1","withdrawal_sheet","Withdrawal sheet","3","~-------------------","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","3","3","3","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=3","released_document_text","Released document text","1","U NCLASSI FlED","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","4-6","4","6","3","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=4","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","7","7","7","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=7","released_or_context_text","Released/context text","2","·-~ Ad~OOJ04dJ""J'['I l""!l""'P!'""d OO)O!J~ : "" "" ,","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","8","8","8","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=8","withdrawal_sheet","Withdrawal sheet","3","·Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","9-10","9","10","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=9","released_document_text","Released document text","1","""' 2FBB7B1","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","11","11","11","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=11","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","12","12","12","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=12","released_document_text","Released document text","1","MSMail","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
